name,lat,lon,country,state
Liaoyang,41.2643,123.1772,CN,Liaoning
Beihai,21.4667,109.1000,CN,Guangxi
Meru,0.0500,37.6500,KE,Meru
Brazzaville,-4.2694,15.2714,CG,Brazzaville
Fuxin,42.0127,121.6486,CN,Liaoning
Wuwei,37.9278,102.6329,CN,Gansu
Mersin,36.8000,34.6333,TR,Mersin
Bhopal,23.2500,77.4167,IN,Madhya Pradesh
Lubumbashi,-11.6647,27.4794,CD,Haut-Katanga
Denpasar,-8.6500,115.2167,ID,Bali
Davao,7.0667,125.6000,PH,Davao
Shuyangzha,34.1299,118.7734,CN,Jiangsu
Adana,37.0000,35.3213,TR,Adana
Damascus,33.5131,36.2919,SY,Dimashq
Brussels,50.8467,4.3525,BE,Brussels-Capital Region
Hyderabad City,25.3792,68.3683,PK,Sindh
Diyarbakir,37.9100,40.2400,TR,Diyarbakır
San Jose,37.3012,-121.8480,US,California
Chinchvad,18.6186,73.8037,IN,Mahārāshtra
Montevideo,-34.8836,-56.1819,UY,Montevideo
Pittsburgh,40.4397,-79.9763,US,Pennsylvania
Shuozhou,39.3408,112.4292,CN,Shanxi
Cincinnati,39.1413,-84.5060,US,Ohio
Benxi,41.2920,123.7610,CN,Liaoning
Baiyin,36.5448,104.1766,CN,Gansu
Mosul,36.3400,43.1300,IQ,Nīnawá
Manhattan,40.7834,-73.9662,US,New York
Caloocan City,14.6500,120.9700,PH,Caloocan
Kampala,0.3136,32.5811,UG,Kampala
Patna,25.6000,85.1000,IN,Bihār
Tegucigalpa,14.1000,-87.2167,HN,Francisco Morazán
Cleveland,41.4764,-81.6805,US,Ohio
Sanzhou,30.8200,108.4000,CN,Chongqing
Changshu,31.6500,120.7333,CN,Jiangsu
Mecca,21.4225,39.8233,SA,Makkah al Mukarramah
Heihe,50.2458,127.4886,CN,Heilongjiang
Jingdezhen,29.2942,117.2036,CN,Jiangxi
Conakry,9.5092,-13.7122,GN,Conakry
Recife,-8.0500,-34.9000,BR,Pernambuco
Indianapolis,39.7771,-86.1458,US,Indiana
Austin,30.3005,-97.7522,US,Texas
Sangereng,-6.2889,106.7181,ID,Jawa Barat
Kansas City,39.1238,-94.5541,US,Missouri
Zhongli,24.9650,121.2168,TW,Taoyuan
Novosibirsk,55.0333,82.9167,RU,Novosibirskaya Oblast’
Bilaspur,22.0900,82.1500,IN,Chhattīsgarh
Semarang,-6.9667,110.4167,ID,Jawa Tengah
Ludhiana,30.9100,75.8500,IN,Punjab
Narayanganj,23.6200,90.5000,BD,Dhaka
Stockholm,59.3294,18.0686,SE,Stockholm
Chengtangcun,35.0833,117.1500,CN,Shandong
